Index,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,ID
24946,Angry Young Man,2014,-,5.2,9,Action            ,hindi,tt3617048
24947,Amma,1976,-,-,-,-,malayalam,tt0281589
24948,Mandahaasa,2013,-,-,-,-,kannada,tt1846652
24949,Razia,1988,-,-,-,Romance            ,hindi,tt2726880
24950,Seerum Puli,2020,-,-,-,Biography            ,tamil,tt11472066
24951,Bheemaa,2008,169 min,5.7,867,Action            ,tamil,tt1034431
24952,Kaptaan,2016,142 min,6.5,192,"Comedy, Drama, Family            ",punjabi,tt5595240
24953,Bhariya Onnu Makkal Moonnu,2009,124 min,3.4,21,Drama            ,malayalam,tt1764200
24954,Manan,I 2020,-,-,-,Thriller            ,marathi,tt14339132
24955,Viraivil Isai,2015,125 min,-,-,Drama            ,tamil,tt13057614
24956,Heeralal Pannalal,1978,-,6.7,76,"Action, Comedy            ",hindi,tt0258647
24957,Nolan Equation,2018,105 min,-,-,"Crime, Drama, Mystery            ",tamil,tt5094932
24958,Akhand Chudlo,1980,-,-,-,Romance            ,gujarati,tt4604748
24959,Kulswamini Ambabai,1984,-,-,-,-,marathi,tt0238364
24960,Penninte Prathikaaram,1983,-,-,-,-,malayalam,tt0345780
24961,Knock! Knock!,2019,-,-,-,"Short, Thriller            ",malayalam,tt11974820
24962,Hearty's Day Out,,20 min,-,-,"Short, Family            ",malayalam,-
24963,Virgin Bhanupriya,2020,111 min,2.5,"1,088","Comedy, Drama            ",hindi,tt11964084
24964,Kabhi Paas Kabhi Fail,1999,95 min,6.4,18,"Comedy, Family            ",hindi,tt2531988
24965,Ethirvinaiyatru,,-,-,-,Thriller            ,tamil,-
24966,Songs of love,2019,210 min,-,-,"Drama, Musical, Romance            ",hindi,tt10644652
24967,Galti Se Mistakke Ho Gayi,2011,102 min,-,-,"Comedy, Family            ",hindi,tt1874505
24968,Aarambamae Attakasam,2017,-,-,-,-,tamil,tt7951564
24969,Milestone,2020,98 min,5.9,39,Drama            ,hindi,tt12779208
24970,Thittam Poattu Thirudura Kootam,2019,126 min,5,53,"Action, Comedy, Crime            ",tamil,tt7536924
24971,Mai,2013,105 min,6.7,91,"Drama, Family            ",hindi,tt2389486
24972,Ang Lagaa Le,1991,-,-,-,Thriller            ,hindi,tt3673370
24973,Figght,2019,-,-,-,"Action, Drama            ",marathi,tt9275320
24974,Thulavarsham,1976,-,3.9,7,-,malayalam,tt0187549
24975,Attaracha Phaya,1984,-,-,-,Drama            ,marathi,tt14025530
24976,Nayayaam,2015,-,-,-,Drama            ,marathi,tt11295976
24977,Dekho Chand Aaya,2016,-,-,-,"Crime, Drama, Family            ",urdu,tt10505540
24978,Red River,2021,-,-,-,Drama            ,malayalam,-
24979,Music Meri Jaan,2016,140 min,-,-,Musical            ,hindi,tt5493738
24980,BumBoo,2016,57 min,-,-,Comedy            ,hindi,tt5910104
24981,Sainyam,1993,194 min,6.4,206,"Action, Drama, Thriller            ",malayalam,tt0251972
24982,Akasmika,1993,146 min,7.2,149,"Action, Crime, Thriller            ",kannada,tt0245694
24983,Nasbandi,1978,140 min,6.5,13,"Comedy, Drama            ",hindi,tt0232164
24984,Shahid,2012,129 min,8.2,"15,413","Biography, Drama            ",hindi,tt2181831
24985,Mannat,2016–2017,-,8.7,6,"Drama, Family            ",urdu,tt6913704
24986,Man Ka Meet,1950,-,-,-,"Drama, Romance            ",hindi,tt0256172
24987,Deepasthambham Mahascharyam,1999,137 min,5.1,78,"Comedy, Drama, Musical            ",malayalam,tt0255096
24988,Nalish,1982,-,-,-,Drama            ,bengali,tt5486742
24989,Vishwasghaat,1977,-,5.1,37,"Action, Crime, Drama            ",hindi,tt0157165
24990,Undamma Bottu Pedata,1968,156 min,4.8,21,Drama            ,telugu,tt0293674
24991,Amar Deep,1979,-,6.8,65,"Drama, Romance            ",hindi,tt0078761
24992,Evalasa Khopa,2009,-,-,-,Drama            ,marathi,tt14074118
24993,Lal-e-Yaman,1933,158 min,-,-,-,hindi,tt0262557
24994,Bhale Adrushtavo Adrushta,1971,141 min,-,-,-,kannada,tt1404596
24995,Seva Sadan,1938,210 min,-,-,Drama            ,tamil,tt0274825
24996,Varasudochhadu,1988,124 min,7.8,88,Family            ,telugu,tt0320711
24997,Sakthi Parasakthi,1985,120 min,-,-,Drama            ,tamil,tt10189170
24998,Youngster: Nepali Film,2015,135 min,-,-,Drama            ,nepali,tt10847722
24999,Meri Lalkaar,1990,-,-,-,Action            ,hindi,tt2637518
25000,Meghdoot (The Cloud Messenger),,-,-,-,"Drama, Fantasy, Romance            ",sanskrit,-
25001,Kaal Madhumas,2013,-,6.5,10,Romance            ,bengali,tt2583532
25002,See You,II 2012,-,-,-,Drama            ,kannada,tt13939774
